Month,Day,Hour,Minute,Arrival_Rate
January,Monday,0,00:00,1
January,Monday,0,05:00,1
January,Monday,0,10:00,1
January,Monday,0,15:00,7
January,Monday,0,20:00,1
January,Monday,0,25:00,9
January,Monday,0,30:00,9
January,Monday,0,35:00,8
January,Monday,0,40:00,8
January,Monday,0,45:00,9
January,Monday,0,50:00,1
January,Monday,0,55:00,7
January,Monday,1,00:00,8
January,Monday,1,05:00,7
January,Monday,1,10:00,2
January,Monday,1,15:00,2
January,Monday,1,20:00,8
January,Monday,1,25:00,1
January,Monday,1,30:00,9
January,Monday,1,35:00,1
January,Monday,1,40:00,1
January,Monday,1,45:00,1
January,Monday,1,50:00,1
January,Monday,1,55:00,8
January,Monday,2,00:00,6
January,Monday,2,05:00,8
January,Monday,2,10:00,1
January,Monday,2,15:00,8
January,Monday,2,20:00,1
January,Monday,2,25:00,5
January,Monday,2,30:00,8
January,Monday,2,35:00,8
January,Monday,2,40:00,5
January,Monday,2,45:00,6
January,Monday,2,50:00,9
January,Monday,2,55:00,1
January,Monday,3,00:00,1
January,Monday,3,05:00,9
January,Monday,3,10:00,1
January,Monday,3,15:00,8
January,Monday,3,20:00,1
January,Monday,3,25:00,1
January,Monday,3,30:00,1
January,Monday,3,35:00,7
January,Monday,3,40:00,7
January,Monday,3,45:00,1
January,Monday,3,50:00,1
January,Monday,3,55:00,8
January,Monday,4,00:00,1
January,Monday,4,05:00,1
January,Monday,4,10:00,8
January,Monday,4,15:00,2
January,Monday,4,20:00,8
January,Monday,4,25:00,1
January,Monday,4,30:00,9
January,Monday,4,35:00,1
January,Monday,4,40:00,1
January,Monday,4,45:00,9
January,Monday,4,50:00,1
January,Monday,4,55:00,9
January,Monday,5,00:00,8
January,Monday,5,05:00,9
January,Monday,5,10:00,1
January,Monday,5,15:00,6
January,Monday,5,20:00,8
January,Monday,5,25:00,7
January,Monday,5,30:00,4
January,Monday,5,35:00,1
January,Monday,5,40:00,1
January,Monday,5,45:00,7
January,Monday,5,50:00,8
January,Monday,5,55:00,1
January,Monday,6,00:00,1
January,Monday,6,05:00,3
January,Monday,6,10:00,1
January,Monday,6,15:00,8
January,Monday,6,20:00,1
January,Monday,6,25:00,7
January,Monday,6,30:00,7
January,Monday,6,35:00,1
January,Monday,6,40:00,8
January,Monday,6,45:00,5
January,Monday,6,50:00,1
January,Monday,6,55:00,1
January,Monday,7,00:00,8
January,Monday,7,05:00,1
January,Monday,7,10:00,9
January,Monday,7,15:00,8
January,Monday,7,20:00,1
January,Monday,7,25:00,1
January,Monday,7,30:00,1
January,Monday,7,35:00,5
January,Monday,7,40:00,8
January,Monday,7,45:00,7
January,Monday,7,50:00,1
January,Monday,7,55:00,1
January,Monday,8,00:00,1
January,Monday,8,05:00,7
January,Monday,8,10:00,9
January,Monday,8,15:00,8
January,Monday,8,20:00,1
January,Monday,8,25:00,1
January,Monday,8,30:00,1
January,Monday,8,35:00,9
January,Monday,8,40:00,6
January,Monday,8,45:00,1
January,Monday,8,50:00,1
January,Monday,8,55:00,8
January,Monday,9,00:00,7
January,Monday,9,05:00,1
January,Monday,9,10:00,1
January,Monday,9,15:00,1
January,Monday,9,20:00,1
January,Monday,9,25:00,5
January,Monday,9,30:00,1
January,Monday,9,35:00,1
January,Monday,9,40:00,1
January,Monday,9,45:00,2
January,Monday,9,50:00,4
January,Monday,9,55:00,7
January,Monday,10,00:00,1
January,Monday,10,05:00,1
January,Monday,10,10:00,1
January,Monday,10,15:00,1
January,Monday,10,20:00,1
January,Monday,10,25:00,1
January,Monday,10,30:00,1
January,Monday,10,35:00,1
January,Monday,10,40:00,1
January,Monday,10,45:00,1
January,Monday,10,50:00,5
January,Monday,10,55:00,8
January,Monday,11,00:00,1
January,Monday,11,05:00,1
January,Monday,11,10:00,1
January,Monday,11,15:00,1
January,Monday,11,20:00,1
January,Monday,11,25:00,9
January,Monday,11,30:00,8
January,Monday,11,35:00,1
January,Monday,11,40:00,1
January,Monday,11,45:00,1
January,Monday,11,50:00,1
January,Monday,11,55:00,1
January,Monday,12,00:00,9
January,Monday,12,05:00,7
January,Monday,12,10:00,1
January,Monday,12,15:00,7
January,Monday,12,20:00,1
January,Monday,12,25:00,9
January,Monday,12,30:00,5
January,Monday,12,35:00,7
January,Monday,12,40:00,1
January,Monday,12,45:00,8
January,Monday,12,50:00,9
January,Monday,12,55:00,1
January,Monday,13,00:00,1
